2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - CryptonioBot v3.0 initialized with 8 trading pairs
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - CRYPTONIO BOT v3.0 - MULTI-CURRENCY MODE
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Active pairs: ['BTCUSD', 'ETHUSD', 'SOLUSD', 'ADAUSD', 'DOTUSD', 'LINKUSD', 'MATICUSD', 'AVAXUSD']
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Paper trading: True
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Max positions: 3
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Daily risk per pair: $10.0
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Global daily risk: $50.0
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 10:41:00,490 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:42:00,490 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:43:00,491 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:44:00,492 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:45:00,493 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:46:00,493 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:47:00,496 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:48:00,496 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:49:00,497 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:50:00,497 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:51:00,498 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:52:00,498 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:53:00,498 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:54:00,499 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:55:00,499 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-15 10:56:00,499 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:25:29,316 - CryptonioBot_v3 - INFO - CryptonioBot v3.0 initialized with 8 trading pairs
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - ============================================================
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - CRYPTONIO BOT v3.0 - MULTI-CURRENCY MODE
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - ============================================================
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - Active pairs: ['BTCUSD', 'ETHUSD', 'SOLUSD', 'ADAUSD', 'DOTUSD', 'LINKUSD', 'MATICUSD', 'AVAXUSD']
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - Paper trading: True
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - Max positions: 3
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - Daily risk per pair: $10.0
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - Global daily risk: $50.0
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - ============================================================
2026-03-16 05:25:29,317 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:26:29,317 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:27:29,318 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:28:29,318 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
