Business Name,City,County,Phone,Address,Business Type,Source
AZUL MEXICAN FOOD & TEQUILA BAR,SACRAMENTO,Sacramento,,1050 20TH ST,Mexican Restaurant,ABC License Data
B & E MARKET,SACRAMENTO,Sacramento,,7596 BRADSHAW RD,Food Service,ABC License Data
B & W LIQUOR,SACRAMENTO,Sacramento,,1810 DEL PASO BLVD,Food Service,ABC License Data
B BROTHERS MINI MART,SACRAMENTO,Sacramento,,4847 AMBER LN,Food Service,ABC License Data
B'S WINE & LIQUOR,FAIR OAKS,Sacramento,,8121 MADISON AVE,Food Service,ABC License Data
B.O.S.S. 5 STAR LOUNGE,SACRAMENTO,Sacramento,,1017 FRONT ST LOWR LEVEL,Bar,ABC License Data
BABES LOUNGE,ELK GROVE,Sacramento,,9021 ELK GROVE BLVD,Bar,ABC License Data
BACCHUS HOUSE WINE BAR & BISTRO,FOLSOM,Sacramento,,1004 E BIDWELL ST,Bar,ABC License Data
BAMBINAS PIZZA AND PASTA,SACRAMENTO,Sacramento,,1610 R ST,Food Service,ABC License Data
BANGKOK @ 12 THAI RESTAURANT,SACRAMENTO,Sacramento,,900 12TH ST,Asian Restaurant,ABC License Data
BANGKOK GARDEN THAI CUISINE,SACRAMENTO,Sacramento,,2069 ARENA BLVD,Asian Restaurant,ABC License Data
BANZAI SUSHI,SACRAMENTO,Sacramento,,6409 RIVERSIDE BLVD,Food Service,ABC License Data
BAR WEST,SACRAMENTO,Sacramento,,2724 J ST,Bar,ABC License Data
BARGAIN SUPERMARKET,CITRUS HEIGHTS,Sacramento,,7817 GREENBACK LN,Bar,ABC License Data
BARNES & NOBLE CAFE,FOLSOM,Sacramento,,280 PALLADIO PKWY,Bar,ABC License Data
BARSETTI VINEYARDS,GALT,Sacramento,,400 4TH ST,Bar,ABC License Data
BARTLEY CAVANAUGH GOLF COMPLEX,SACRAMENTO,Sacramento,,8301 FREEPORT BLVD,Bar,ABC License Data
