Business Name,City,County,Phone,Address,Business Type,Source,Notes
SHADYBROOK ESTATE WINERY,NAPA,Napa,,100 RAPP LN,Food Service,ABC License,Independent
SHED-TEAU WINES  LLC,NAPA,Napa,,1081 ROUND HILL CIR,Food Service,ABC License,Independent
SHERWIN WINE SERVICES,NAPA,Napa,,2371 PINE ST,Food Service,ABC License,Independent
SHIFFLET RANCH & VINEYARD WINERY,NAPA,Napa,,1201 DARMS LN,Food Service,ABC License,Independent
SHORT & SWEET WINES,NAPA,Napa,,1034 DARMS LN,Food Service,ABC License,Independent
SHOT CALLER WINE COMPANY,NAPA,Napa,,880 VALLEJO ST,Food Service,ABC License,Independent
SIAM THAI HOUSE,NAPA,Napa,,1139 LINCOLN AVE,Asian Restaurant,ABC License,Independent
SILVER TRIDENT WINERY,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
SILVERSTAG WINERY,NAPA,Napa,,5230 COUNTRY LN,Food Service,ABC License,Independent
SIROTKA WINES,NAPA,Napa,,2933 BROOKWOOD DR,Food Service,ABC License,Independent
SJ WINE,NAPA,Napa,,144 GATEWAY RD E,Food Service,ABC License,Independent
SKH WINES,NAPA,Napa,,276 RANDOLPH ST,Food Service,ABC License,Independent
SKURNIK WINES WEST,NAPA,Napa,,80 TECHNOLOGY CT,Food Service,ABC License,Independent
SKY DEVIL WINES,NAPA,Napa,,703 OAKVILLE CROSS RD,Food Service,ABC License,Independent
SLO DOWN WINES,NAPA,Napa,,576 GATEWAY DR,Food Service,ABC License,Independent
SODA CANYON STORE,NAPA,Napa,,4006 SILVERADO TRL,Food Service,ABC License,Independent
SOLANO MARKET,NAPA,Napa,,2877 SOLANO AVE,Food Service,ABC License,Independent
SOMNIUM WINE COMPANY,NAPA,Napa,,1408 2ND ST,Food Service,ABC License,Independent
SOUTHERN ROOTS WINES,NAPA,Napa,,551 TECHNOLOGY WAY,Food Service,ABC License,Independent
SQUEEZE INN HAMBURGERS,NAPA,Napa,,3383 SOLANO AVE,Food Service,ABC License,Independent
SQUIRE WINE,NAPA,Napa,,1043 WESTVIEW DR,Food Service,ABC License,Independent
ST BARTHELEMY CELLARS,NAPA,Napa,,6015 STEELE CANYON RD,Bar,ABC License,Independent
ST CLAIR & BROWN WINERY,NAPA,Napa,,1605 ACTION AVE,Food Service,ABC License,Independent
ST. ROMEDIUS WINE,NAPA,Napa,,606 SEMINARY ST,Food Service,ABC License,Independent
STAG'S LEAP WINE CELLARS,NAPA,Napa,,5766 SILVERADO TRL,Food Service,ABC License,Independent
STAGS LEAP WINE CELLARS,NAPA,Napa,,904 ENTERPRISE WAY,Food Service,ABC License,Independent
STAGS' LEAP WINERY,NAPA,Napa,,6150 SILVERADO TRL,Food Service,ABC License,Independent
STANLY LANE SMOKEHOUSE & DELI,NAPA,Napa,,3100 GOLDEN GATE DR,Food Service,ABC License,Independent
STATE OF MIND WINES,NAPA,Napa,,270 KREUZER LN,Food Service,ABC License,Independent
STEREOPHONIC WINE,NAPA,Napa,,3514 MEADOWBROOK DR,Food Service,ABC License,Independent
STONES SPORTS BAR,NAPA,Napa,,1679 W IMOLA AVE,Bar,ABC License,Independent
STOUT FAMILY WINES,NAPA,Napa,,1 EXECUTIVE WAY  BLDGS 1  2 & 3,Food Service,ABC License,Independent
STUDIO M FINE WINES  LLC,NAPA,Napa,,1465 1ST STREET,Food Service,ABC License,Independent
SUNCRU WINES LLC,NAPA,Napa,,918 ENTERPRISE WAY,Food Service,ABC License,Independent
SUNSHINE CAFE,NAPA,Napa,,1540 TRANCAS ST,Restaurant,ABC License,Independent
SURCOS WINES,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
SUSPIRO WINES,NAPA,Napa,,3801 LASSEN ST,Food Service,ABC License,Independent
SUTTER HOME WINERY INC,NAPA,Napa,,35-37 EXECUTIVE WAY,Food Service,ABC License,Independent
T-VINE WINERY,NAPA,Napa,,5584 SILVERADO TRL,Food Service,ABC License,Independent
TACOS LA PLAYITA,NAPA,Napa,,2580 JEFFERSON ST,Mexican Restaurant,ABC License,Independent
TAJ GRILL INDIAN CUISINE,NAPA,Napa,,701 LINCOLN AVE,Food Service,ABC License,Independent
TANSY WINES,NAPA,Napa,,1155 3RD AVE,Food Service,ABC License,Independent
TARLA MEDITERRANEAN GRILL,NAPA,Napa,,1480 1ST ST,Food Service,ABC License,Independent
TAYLORED WINE,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
TE MA MA WINES,NAPA,Napa,,1386 SALVADOR AVE,Food Service,ABC License,Independent
TENCH WINERY,NAPA,Napa,,7633 SILVERADO TRL,Food Service,ABC License,Independent
TERRIEN WINES,NAPA,Napa,,2041 3RD ST,Food Service,ABC License,Independent
THAI KITCHEN NAPA,NAPA,Napa,,1222 TRANCAS ST,Asian Restaurant,ABC License,Independent
THE FOOD MILL KITCHEN,NAPA,Napa,,704 TRANCAS ST,Food Service,ABC License,Independent
THE HESS COLLECTION WINERY,NAPA,Napa,,4411 REDWOOD RD,Food Service,ABC License,Independent
THE ST BARTS SPIRIT COMPANY,NAPA,Napa,,201 DEVLIN RD,Bar,ABC License,Independent
THE WATERFRONT SEAFOOD GRILL,NAPA,Napa,,720 MAIN ST,Food Service,ABC License,Independent
THE WINE STASH,NAPA,Napa,,590 TRANCAS ST,Food Service,ABC License,Independent
THREE CLICKS WINES,NAPA,Napa,,968 CAPITOLA DR,Food Service,ABC License,Independent
THREE STARS WINE,NAPA,Napa,,45 ENTERPRISE CT,Food Service,ABC License,Independent
TOGNETTI FAMILY WINERY LLC,NAPA,Napa,,1054 BAYVIEW DR,Food Service,ABC License,Independent
TOLOSA WINERY,NAPA,Napa,,1239-1245 1ST ST,Food Service,ABC License,Independent
TOPAZ WINES,NAPA,Napa,,1755 MONARCH DR,Food Service,ABC License,Independent
TOWER ROAD WINERY CO OP,NAPA,Napa,,241 TOWER RD,Food Service,ABC License,Independent
TREASURY WINE ESTATES AMERICAS COMPANY,NAPA,Napa,,630 AIRPARK RD,Food Service,ABC License,Independent
TRIM WINES,NAPA,Napa,,4500 SILVERADO TRL,Food Service,ABC License,Independent
TROIKA WINES,NAPA,Napa,,103 VALLEY CLUB CIR,Food Service,ABC License,Independent
TRUE NORTH WINE MERCHANTS  LLC,NAPA,Napa,,95 WINEDALE LN,Food Service,ABC License,Independent
TRUJILLO WINES,NAPA,Napa,,4326 BIG RANCH RD,Food Service,ABC License,Independent
TULOCAY WINERY,NAPA,Napa,,1426 COOMBSVILLE RD,Food Service,ABC License,Independent
TURLEY WINE CELLARS,NAPA,Napa,,2747 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
TWO SHADOWS WINE LLC,NAPA,Napa,,1500 LOS CARNEROS AVE,Food Service,ABC License,Independent
TYPICITE WINES,NAPA,Napa,,2654 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
UNWRITTEN WINES,NAPA,Napa,,1221 DUHIG RD,Food Service,ABC License,Independent
VALENCIA MARKET Y TAQUERIA,NAPA,Napa,,1725 W IMOLA AVE,Food Service,ABC License,Independent
VALLERGAS MARKETS,NAPA,Napa,,3385 SOLANO AVE,Food Service,ABC License,Independent
VALLEY LEGEND WINES,NAPA,Napa,,4239 MAHER ST,Food Service,ABC License,Independent
VALLEY LIQUOR,NAPA,Napa,,2023 MONTICELLO RD,Food Service,ABC License,Independent
VALS LIQUORS,NAPA,Napa,,132 SOSCOL AVE,Food Service,ABC License,Independent
VAN DYK FAMILY WINES,NAPA,Napa,,109 VALLEY CLUB CIR,Food Service,ABC License,Independent
VERISMO WINE,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
VERMEIL WINE GROUP,NAPA,Napa,,1018 1ST ST,Food Service,ABC License,Independent
VICE WINES  THE,NAPA,Napa,,110-122 CAMINO ORUGA,Food Service,ABC License,Independent
VICE WINES THE,NAPA,Napa,,130 CAMINO DORADO,Food Service,ABC License,Independent
VICTORIA COLEMAN WINES LLC,NAPA,Napa,,2275 SODA CANYON RD,Food Service,ABC License,Independent
VIDA VALIENTE WINERY,NAPA,Napa,,2713 IOWA ST,Food Service,ABC License,Independent
VILLA ITALIA GOURMET FOOD & WINE,NAPA,Napa,,80 TECHNOLOGY CT,Food Service,ABC License,Independent
VINCENT ARROYO WINERY  INC.,NAPA,Napa,,2793 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
VINE CLIFF WINERY,NAPA,Napa,,7400 SILVERADO TRL,Food Service,ABC License,Independent
VINTAGE WINE MARKETING,NAPA,Napa,,42 EL MONTE WAY,Food Service,ABC License,Independent
VITUS WINE GROUP,NAPA,Napa,,1031 MCKINSTRY ST,Food Service,ABC License,Independent
VOLKER EISELE FAMILY ESTATE WINERY,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
W WINERY INC,NAPA,Napa,,3268 VILLA LN,Food Service,ABC License,Independent
WAH SING CHINESE RESTAURANT,NAPA,Napa,,1445 W IMOLA AVE,Restaurant,ABC License,Independent
WAL MART STORE 2925,NAPA,Napa,,681 LINCOLN AVE,Food Service,ABC License,Independent
WALDELE FAMILY WINES LLC,NAPA,Napa,,270 KREUZER LN,Food Service,ABC License,Independent
WALDEN WINE,NAPA,Napa,,1594 CINNAMOND ST,Food Service,ABC License,Independent
WARD FOUR WINES,NAPA,Napa,,683 STONEHOUSE DR,Food Service,ABC License,Independent
WE THE PEOPLE WINES,NAPA,Napa,,110-122 CAMINO ORUGA,Food Service,ABC License,Independent
WENYON WINERY,NAPA,Napa,,4205 BIG RANCH RD,Food Service,ABC License,Independent
WEST COAST WINE GROUP  LLC,NAPA,Napa,,8461 ST HELENA HWY,Food Service,ABC License,Independent
WESTERN DRIVE WINES,NAPA,Napa,,2060 BIG RANCH RD,Food Service,ABC License,Independent
WESTERN WINE SERVICES  INC.,NAPA,Napa,,37 EXECUTIVE WAY,Food Service,ABC License,Independent
WHETSTONE WINE CELLARS,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
WHITMAN FAMILY WINES,NAPA,Napa,,254 BUTTERCUP CT,Food Service,ABC License,Independent
WILFRED'S LOUNGE,NAPA,Napa,,967 1ST ST,Bar,ABC License,Independent
WILLIAM KNUTTEL WINERY,NAPA,Napa,,23 BLACKBERRY DR,Food Service,ABC License,Independent
WINE BLOCKS,NAPA,Napa,,355 FRANKLIN ST,Food Service,ABC License,Independent
WINE BUZZ MARKETING,NAPA,Napa,,2250 3RD ST,Food Service,ABC License,Independent
WINE COUNTRY CONNECTION  LLC,NAPA,Napa,,201 DEVLIN RD,Food Service,ABC License,Independent
WINE FOUNDRY  THE,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License,Independent
WINE FOUNDRY THE,NAPA,Napa,,850 BORDEAUX WAY,Food Service,ABC License,Independent
WINE GIRL NAPA VALLEY,NAPA,Napa,,1321 1ST ST,Food Service,ABC License,Independent
WINE INTEREST LLC,NAPA,Napa,,1566 AIRPORT BLVD,Food Service,ABC License,Independent
WINE RETRIEVER LLC,NAPA,Napa,,520 AIRPARK RD,Food Service,ABC License,Independent
WINE SERVICE CO OP,NAPA,Napa,,60 HARLOW CT,Food Service,ABC License,Independent
WINE SERVICE COOPERATIVE,NAPA,Napa,,1325 AIRPORT BLVD,Food Service,ABC License,Independent
WINE TRUST  THE,NAPA,Napa,,660 AIRPARK RD,Food Service,ABC License,Independent
WINE TRUST THE,NAPA,Napa,,660 AIRPARK RD,Food Service,ABC License,Independent
WINEBEV SERVICES,NAPA,Napa,,500 TECHNOLOGY WAY,Food Service,ABC License,Independent
WINEBID,NAPA,Napa,,755 SKYWAY CT,Food Service,ABC License,Independent
WINECARE LOGISTICS,NAPA,Napa,,561 TECHNOLOGY WAY,Food Service,ABC License,Independent
WINEKEY,NAPA,Napa,,3249 BROWNS VALLEY RD,Food Service,ABC License,Independent
WINERY EXCHANGE,NAPA,Napa,,2515 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
WINES THAT ROCK,NAPA,Napa,,115 DEVLIN RD,Food Service,ABC License,Independent
WINESHIPPING,NAPA,Napa,,50 TECHNOLOGY CT,Food Service,ABC License,Independent
WINESHIPPING.COM  LLC,NAPA,Napa,,50-80 TECHNOLOGY CT,Food Service,ABC License,Independent
WINESHOP AT HOME,NAPA,Napa,,525 AIRPARK RD,Food Service,ABC License,Independent
WINETECH LLC,NAPA,Napa,,2515 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
WINSTONS CAFE AND BAKERY,NAPA,Napa,,1517 3RD ST,Restaurant,ABC License,Independent
WORLD MARKET,NAPA,Napa,,3934 BEL AIRE PLZ,Food Service,ABC License,Independent
WORLD OF WINE  LTD.,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License,Independent
WP WINE IMPORTS INC,NAPA,Napa,,745 SKYWAY CT,Food Service,ABC License,Independent
WRIGHTWOOD WINE,NAPA,Napa,,1129 LEGION AVE,Food Service,ABC License,Independent
X WINERY,NAPA,Napa,,110-122 CAMINO ORUGA,Food Service,ABC License,Independent
YAK AND YETI RESTAURANT,NAPA,Napa,,3150 B JEFFERSON ST,Restaurant,ABC License,Independent
YB WINE VENTURES LLC,NAPA,Napa,,1115 LOMA VISTA DR,Food Service,ABC License,Independent
YORK CREEK WINERY LLC,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License,Independent
YOUNTVILLE WINE IMPORTS  LLC,NAPA,Napa,,902 ENTERPRISE WAY,Food Service,ABC License,Independent
YOUR WINE COUNTRY EVENT,NAPA,Napa,,630 AIRPARK RD,Food Service,ABC License,Independent
ZD WINES,NAPA,Napa,,8383 SILVERADO TRL,Food Service,ABC License,Independent
ACRE WINES,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
ATLAS WINE COMPANY,OAKVILLE,Napa,,8210 ST HELENA HWY,Food Service,ABC License,Independent
AWINECO,OAKVILLE,Napa,,7830 ST HELENA HWY,Food Service,ABC License,Independent
CARDINALE WINERY,OAKVILLE,Napa,,7600 ST HELENA HWY,Food Service,ABC License,Independent
FAR NIENTE WINE ESTATES,OAKVILLE,Napa,,1350 ACACIA DR,Food Service,ABC License,Independent
FAR NIENTE WINERY,OAKVILLE,Napa,,1350 ACACIA DR,Food Service,ABC License,Independent
FAR NIENTE WINERY INC,OAKVILLE,Napa,,8164 ST HELENA HWY,Food Service,ABC License,Independent
GROTH VINEYARDS AND WINERY  LLC,OAKVILLE,Napa,,750 OAKVILLE CROSS RD,Food Service,ABC License,Independent
HARLAN ESTATE WINERY,OAKVILLE,Napa,,1551 OAKVILLE GRADE,Food Service,ABC License,Independent
HOOPES VINEYARD AND WINERY,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
LEVENDI WINERY,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
MATHEW BRUNO WINES  LLC,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
MICHAEL POZZAN WINERY,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
MT VEEDER WINERY,OAKVILLE,Napa,,7801 ST HELENA HWY,Food Service,ABC License,Independent
NAPA WINE COMPANY,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
NICKEL & NICKEL WINERY,OAKVILLE,Napa,,8164 ST HELENA HWY,Food Service,ABC License,Independent
NOVA WINES,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
NOVA WINES INC,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
OBSESSION WINE COMPANY,OAKVILLE,Napa,,7701 SILVERADO TRAIL,Food Service,ABC License,Independent
OPUS ONE WINERY,OAKVILLE,Napa,,7900 ST HELENA HWY,Food Service,ABC License,Independent
PARADIGM WINERY,OAKVILLE,Napa,,1277 DWYER RD,Food Service,ABC License,Independent
PATENT WINES,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
PICKETT ROAD WINE COMPANY,OAKVILLE,Napa,,7830-40 ST HELENA HWY,Food Service,ABC License,Independent
PLUMPJACK WINERY,OAKVILLE,Napa,,620 OAKVILLE CROSS RD,Food Service,ABC License,Independent
ROBERT MONDAVI WINERY,OAKVILLE,Napa,,7801 ST HELENA HWY,Food Service,ABC License,Independent
RUDD WINERY,OAKVILLE,Napa,,500 OAKVILLE CROSS RD,Food Service,ABC License,Independent
RUDD WINES INC,OAKVILLE,Napa,,500 OAKVILLE CROSS RD,Food Service,ABC License,Independent
SHINME WINES LLC,OAKVILLE,Napa,,7776 SILVERADO TRL,Food Service,ABC License,Independent
SILVER OAK WINE CELLARS,OAKVILLE,Napa,,915 OAKVILLE CROSS RD,Food Service,ABC License,Independent
TURNBULL WINE CELLARS,OAKVILLE,Napa,,8210 ST HELENA HWY,Food Service,ABC License,Independent
CALLA LILY ESTATE & WINERY,POPE VALLEY,Napa,,6307 POPE VALLEY RD,Food Service,ABC License,Independent
CLEAVAGE CREEK WINERY,POPE VALLEY,Napa,,6307 POPE VALLEY RD,Food Service,ABC License,Independent
JAMES CREEK WINES INC,POPE VALLEY,Napa,,2249 JAMES CREEK RD,Food Service,ABC License,Independent
PARADY FAMILY WINES,POPE VALLEY,Napa,,6307 POPE VALLEY RD,Food Service,ABC License,Independent
POPE VALLEY MARKET,POPE VALLEY,Napa,,5820 POPE VALLEY RD,Food Service,ABC License,Independent
POPE VALLEY WINERY,POPE VALLEY,Napa,,6613 POPE VALLEY RD,Food Service,ABC License,Independent
RIOS WINE COMPANY LLC,POPE VALLEY,Napa,,1803 AETNA SPRINGS RD,Food Service,ABC License,Independent
WHISKY RIVER RANCH WINERY,POPE VALLEY,Napa,,1844 POPE CANYON RD,Food Service,ABC License,Independent
ALPHA & OMEGA WINERY,RUTHERFORD,Napa,,1155 MEE LN,Food Service,ABC License,Independent
ALPHA OMEGA WINERY,RUTHERFORD,Napa,,1155 MEE LN,Food Service,ABC License,Independent
CAYMUS-CALIFORNIA WINERY LLC,RUTHERFORD,Napa,,8700 CONN CREEK RD,Food Service,ABC License,Independent
EMMOLO WINERY,RUTHERFORD,Napa,,8700 CONN CREEK RD,Food Service,ABC License,Independent
FAVIA WINES,RUTHERFORD,Napa,,1601 SILVERADO TRL,Food Service,ABC License,Independent
FROGS LEAP WINERY,RUTHERFORD,Napa,,8815 CONN CREEK RD,Food Service,ABC License,Independent
HONIG VINEYARD AND WINERY,RUTHERFORD,Napa,,850 RUTHERFORD RD,Food Service,ABC License,Independent
LA LUNA MARKET & TAQUERIA,RUTHERFORD,Napa,,1153 RUTHERFORD RD,Food Service,ABC License,Independent
PEJU FAMILY WINERY,RUTHERFORD,Napa,,8466 ST HELENA HWY,Food Service,ABC License,Independent
PRISONER WINE COMPANY  THE,RUTHERFORD,Napa,,1178 GALLERON RD,Food Service,ABC License,Independent
QUINTESSA WINERY,RUTHERFORD,Napa,,1601 SILVERADO TRL,Food Service,ABC License,Independent
ROUND POND WINES,RUTHERFORD,Napa,,877 RUTHERFORD RD,Food Service,ABC License,Independent
RUTHERFORD GRILL,RUTHERFORD,Napa,,1180 RUTHERFORD RD,Food Service,ABC License,Independent
RUTHERFORD HILL WINERY,RUTHERFORD,Napa,,200 RUTHERFORD HILL RD,Food Service,ABC License,Independent
SCARECROW WINE,RUTHERFORD,Napa,,1481 NIEBAUM LN,Food Service,ABC License,Independent
ST SUPERY ESTATE VINEYARDS & WINERY,RUTHERFORD,Napa,,8440 ST HELENA HWY,Food Service,ABC License,Independent
SWANSON VINEYARDS AND WINERY,RUTHERFORD,Napa,,1271 MANLEY LN,Food Service,ABC License,Independent
TOLOSA WINERY,RUTHERFORD,Napa,,1155 MEE LN,Food Service,ABC License,Independent
WHEELER WINERY INC,RUTHERFORD,Napa,,1165 & 1171 RUTHERFORD RD,Food Service,ABC License,Independent
8687 FAMILY WINE COMPANY,SAINT HELENA,Napa,,1701 MADRONA AVE,Food Service,ABC License,Independent
ABIOUNESS WINES,SAINT HELENA,Napa,,3524 SILVERADO TRL N,Food Service,ABC License,Independent
ACME FINE WINES,SAINT HELENA,Napa,,1118 HUNT AVE,Food Service,ABC License,Independent
ALOFT WINES & DARK MATTER WINES,SAINT HELENA,Napa,,3125 ST HELENA HWY N,Food Service,ABC License,Independent
AMIZETTA VINEYARDS WINERY,SAINT HELENA,Napa,,1099 GREENFIELD RD,Food Service,ABC License,Independent
AMPL WINE INC.,SAINT HELENA,Napa,,1880 RIDGEVIEW LN,Food Service,ABC License,Independent
AMULET ESTATE AND WINES,SAINT HELENA,Napa,,230 N CRYSTAL SPRINGS RD,Food Service,ABC License,Independent
ANGELO OWENS WINES,SAINT HELENA,Napa,,4105 CHILES POPE VALLEY RD,Food Service,ABC License,Independent
ANTIX WINES,SAINT HELENA,Napa,,3730 SILVERADO TRL N,Food Service,ABC License,Independent
AONAIR WINE,SAINT HELENA,Napa,,647 GREENFIELD RD,Food Service,ABC License,Independent
APOGIA WINES,SAINT HELENA,Napa,,1860 SPRING MOUNTAIN RD,Food Service,ABC License,Independent
AUBURN JAMES WINERY LLC,SAINT HELENA,Napa,,1001 SILVERADO TRL S,Food Service,ABC License,Independent
AUREA ESTATE WINES,SAINT HELENA,Napa,,1733 FIR HILL DR,Food Service,ABC License,Independent
AXR WINERY,SAINT HELENA,Napa,,4105 CHILES POPE VALLEY RD,Food Service,ABC License,Independent
AZTECA MARKET,SAINT HELENA,Napa,,789 MAIN ST,Food Service,ABC License,Independent
AZUR WINES,SAINT HELENA,Napa,,4105 CHILES POPE VALLEY RD,Food Service,ABC License,Independent
BARLOW VINEYARDS,SAINT HELENA,Napa,,2820 SAINT HELENA HWY N,Bar,ABC License,Independent
BARNETT VINEYARDS,SAINT HELENA,Napa,,4070 SPRING MOUNTAIN RD,Bar,ABC License,Independent
BEHRENS FAMILY WINERY,SAINT HELENA,Napa,,4078 SPRING MOUNTAIN RD,Food Service,ABC License,Independent
BELLA UNION WINERY,SAINT HELENA,Napa,,1695 SAINT HELENA HIGHWAY S,Food Service,ABC License,Independent
BLUE OASIS WINES,SAINT HELENA,Napa,,2649 CHABLIS CT,Food Service,ABC License,Independent
BOB BOLAN WINES,SAINT HELENA,Napa,,975 DEER PARK RD,Food Service,ABC License,Independent
BREMER FAMILY WINERY,SAINT HELENA,Napa,,975 DEER PARK RD,Food Service,ABC License,Independent
BRETON WINE COMPANY INC,SAINT HELENA,Napa,,995 VINTAGE AVE,Food Service,ABC License,Independent
BROOKMAN WINE CO,SAINT HELENA,Napa,,1334 ANDREA AVE,Food Service,ABC License,Independent
BURE FAMILY WINES,SAINT HELENA,Napa,,2899 ST HELENA HWY N,Food Service,ABC License,Independent
BURLY WINE,SAINT HELENA,Napa,,1001 SILVERADO TRL S,Food Service,ABC License,Independent
C BECK WINERY/TIN MAN WINES,SAINT HELENA,Napa,,1136 EDWARDS ST,Food Service,ABC License,Independent
CAIN VINEYARD & WINERY,SAINT HELENA,Napa,,3800 LANGTRY RD,Food Service,ABC License,Independent
CAIRDEAN BRASSWOOD CAFE LLC,SAINT HELENA,Napa,,3111 N SAINT HELENA HWY,Restaurant,ABC License,Independent
CALAFIA WINES,SAINT HELENA,Napa,,629 FULTON LN,Food Service,ABC License,Independent
CAMINO WINES,SAINT HELENA,Napa,,2153 SAGE CANYON RD,Food Service,ABC License,Independent
CATACULA LAKE WINERY,SAINT HELENA,Napa,,4105 CHILES POPE VALLEY RD,Food Service,ABC License,Independent
CATERWAUL WINES,SAINT HELENA,Napa,,3730 SILVERADO TRL,Food Service,ABC License,Independent
CHAPPELLET WINERY,SAINT HELENA,Napa,,1581 SAGE CANYON RD,Food Service,ABC License,Independent
CHARLES KRUG WINERY,SAINT HELENA,Napa,,2800 MAIN ST,Food Service,ABC License,Independent
CHARTER OAK RESTAURANT,SAINT HELENA,Napa,,1050 CHARTER OAK AVE,Restaurant,ABC License,Independent
CHARTER OAK WINERY,SAINT HELENA,Napa,,831 CHARTER OAK AVE,Food Service,ABC License,Independent
CHATEAU BOSWELL WINERY,SAINT HELENA,Napa,,3468 SILVERADO TRL N,Food Service,ABC License,Independent
CHEFS MARKET INC,SAINT HELENA,Napa,,1347 MAIN ST,Food Service,ABC License,Independent
CHPRATT WINE,SAINT HELENA,Napa,,647 GREENFIELD RD,Food Service,ABC License,Independent
CLIF FAMILY WINERY,SAINT HELENA,Napa,,1334 VIDOVICH AVE,Food Service,ABC License,Independent
CORISON WINERY,SAINT HELENA,Napa,,987 ST HELENA HWY,Food Service,ABC License,Independent
CORISON WINERY INC,SAINT HELENA,Napa,,1150 DOWDELL LN,Food Service,ABC License,Independent
CORRA WINES,SAINT HELENA,Napa,,2661 CHABLIS CT,Food Service,ABC License,Independent
CROCKER & STARR WINERY,SAINT HELENA,Napa,,700 DOWDELL LN,Food Service,ABC License,Independent
D R STEPHENS ESTATE WINES,SAINT HELENA,Napa,,3524 SILVERADO TRL N,Food Service,ABC License,Independent
DAKOTA SHY WINERY,SAINT HELENA,Napa,,771 SAGE CANYON RD,Food Service,ABC License,Independent
DALECIO FAMILY WINES,SAINT HELENA,Napa,,3125 ST HELENA HWY N,Food Service,ABC License,Independent
DALECIO FAMILY WINES  LLC,SAINT HELENA,Napa,,3111 ST HELENA HWY N,Food Service,ABC License,Independent
DAVIS & DYKE WINERY,SAINT HELENA,Napa,,105 ZINFANDEL LN,Food Service,ABC License,Independent
DE LOACH WINERY,SAINT HELENA,Napa,,849 ZINFANDEL LN,Food Service,ABC License,Independent
DELECTUS WINERY,SAINT HELENA,Napa,,1091 ST HELENA HWY S,Food Service,ABC License,Independent
DEPICTION WINES,SAINT HELENA,Napa,,1414 HUDSON AVE,Food Service,ABC License,Independent
DICKSON FAMILY WINES,SAINT HELENA,Napa,,742 SUNNYSIDE RD,Food Service,ABC License,Independent
EGELHOFF WINES,SAINT HELENA,Napa,,1397 SYLVANER AVE,Food Service,ABC License,Independent
EHREN JORDAN WINE CELLARS,SAINT HELENA,Napa,,3358 ST HELENA HWY,Food Service,ABC License,Independent
EL MOLINO WINERY,SAINT HELENA,Napa,,3315 ST HELENA HWY,Food Service,ABC License,Independent
ELATION WINES INC.,SAINT HELENA,Napa,,1001 SILVERADO TRL S,Food Service,ABC License,Independent
EMERSON WINES,SAINT HELENA,Napa,,2929 ST HELENA HWY N,Food Service,ABC License,Independent
EMMOLO WINE COMPANY,SAINT HELENA,Napa,,1260 SPRING BROOK CT,Food Service,ABC License,Independent
ENCROACHMENT WINES LLC,SAINT HELENA,Napa,,2624 COLOMBARD CT,Food Service,ABC License,Independent
FAILLA WINES,SAINT HELENA,Napa,,3530 SILVERADO TRL N,Food Service,ABC License,Independent
FARMSTEAD RESTAURANT,SAINT HELENA,Napa,,738 MAIN ST,Restaurant,ABC License,Independent
FE WINES,SAINT HELENA,Napa,,3473 ST HELENA HWY N,Food Service,ABC License,Independent
FEARLESS WINES,SAINT HELENA,Napa,,1840 QUAIL CT,Food Service,ABC License,Independent
FIVE VINTNERS WINES,SAINT HELENA,Napa,,1985 VINEYARD AVE,Food Service,ABC License,Independent
FLEURY ESTATE WINERY,SAINT HELENA,Napa,,950 GALLERON RD,Food Service,ABC License,Independent
FLORA SPRING WINE CO,SAINT HELENA,Napa,,677 S ST HELENA HWY,Food Service,ABC License,Independent
FLORA SPRINGS WINE COMPANY,SAINT HELENA,Napa,,430 LAFATA ST,Food Service,ABC License,Independent
FLUENT WINE CO,SAINT HELENA,Napa,,700 DOWDELL LN,Food Service,ABC License,Independent
FLUENT WINE COMPANY LLC,SAINT HELENA,Napa,,1153 EDWARDS ST,Food Service,ABC License,Independent
