Business Name,City,County,Phone,Address,Business Type,Source,Notes
USA WINE WEST,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,,100 W AMERICAN CANYON RD,Food Service,ABC License,Independent
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,Independent
VINITY WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,Independent
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License,Independent
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,Independent
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,Independent
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License,Independent
WINEDIRECT,AMERICAN CANYON,Napa,,450 GREEN ISLAND RD,Food Service,ABC License,Independent
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
WINESU,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,Independent
WINGSTOP 418,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License,Independent
ADAMVS WINERY,ANGWIN,Napa,,501 WHITE COTTAGE RD N,Food Service,ABC License,Independent
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,,383 LAS POSADAS,Food Service,ABC License,Independent
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,,555 WHITE COTTAGE RD S,Bar,ABC License,Independent
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License,Independent
CADE WINERY,ANGWIN,Napa,,360 HOWELL MOUNTAIN RD,Food Service,ABC License,Independent
FLATLEY WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
HAYFORK WINE COMPANY,ANGWIN,Napa,,2255 SUMMIT LAKE DR,Food Service,ABC License,Independent
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
JACKSON FAMILY WINES INC,ANGWIN,Napa,,1102 LAS POSADAS RD,Food Service,ABC License,Independent
JENNAMARISE WINES,ANGWIN,Napa,,1300 SUMMIT LAKE DR,Food Service,ABC License,Independent
MAXEM WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
MONTESQUIEU WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
MOONE TSAI WINES,ANGWIN,Napa,,1425 LAS POSADAS RD,Food Service,ABC License,Independent
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,,1150 FRIESEN DR,Food Service,ABC License,Independent
OUTPOST WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License,Independent
PARAVEL WINES,ANGWIN,Napa,,994 WHITE COTTAGE RD N,Food Service,ABC License,Independent
PEACE WATER WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,Independent
RED THREAD WINE COMAPANY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,Independent
ROBERT CRAIG WINERY,ANGWIN,Napa,,2475 SUMMIT LAKE DR,Food Service,ABC License,Independent
SELAH WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License,Independent
SOUNDS  SOUNDS WINE,ANGWIN,Napa,,1181 LAS POSADAS RD,Food Service,ABC License,Independent
STELLAREESE WINES,ANGWIN,Napa,,480 BAY ST,Food Service,ABC License,Independent
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,Independent
THREE FURIES WINES,ANGWIN,Napa,,716 LIPARITA AVE,Food Service,ABC License,Independent
TRUJILLO WINES,ANGWIN,Napa,,1250 LAS POSADOS RD,Food Service,ABC License,Independent
VIDA VALIENTE WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,Independent
1510 LIQUOR LLC,CALISTOGA,Napa,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License,Independent
1520 LIQUOR LLC,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License,Independent
AUBERT WINES,CALISTOGA,Napa,,333 SILVERADO TRL,Food Service,ABC License,Independent
AUGUST BRIGGS WINERY,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License,Independent
BARLOW VINEYARDS,CALISTOGA,Napa,,4411 SILVERADO TRL,Bar,ABC License,Independent
BATISTA WINE IMPORTS LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License,Independent
BENNETT LANE WINERY,CALISTOGA,Napa,,3340 STATE HIGHWAY 128,Food Service,ABC License,Independent
BETA-WINES,CALISTOGA,Napa,,1999 DIAMOND MOUNTAIN RD,Food Service,ABC License,Independent
BOATIQUE WINERY  LLC,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,Independent
BURE FAMILY WINES,CALISTOGA,Napa,,1171 TUBBS LN,Food Service,ABC License,Independent
BUSTERS SOUTHERN BARBECUE,CALISTOGA,Napa,,1207 FOOTHILL BLVD,Bar,ABC License,Independent
C BECK WINERY/TIN MAN WINES,CALISTOGA,Napa,,2424 JANIS WY,Food Service,ABC License,Independent
CALISTOGA INN RESTAURANT & BREWERY,CALISTOGA,Napa,,1250 LINCOLN AVE,Restaurant,ABC License,Independent
CALISTOGA LIQUOR,CALISTOGA,Napa,,1102 TUBBS LN,Food Service,ABC License,Independent
CALISTOGA ORTHODOX WINES INC,CALISTOGA,Napa,,1507 WASHINGTON ST,Food Service,ABC License,Independent
CALISTOGA THAI KITCHEN,CALISTOGA,Napa,,1359 LINCOLN AVE,Asian Restaurant,ABC License,Independent
CALISTOGA WINE WAY INN,CALISTOGA,Napa,,1019 FOOTHILL BLVD,Food Service,ABC License,Independent
CASA DOMINGUEZ WINES,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License,Independent
CLOS PEGASE WINERY,CALISTOGA,Napa,,1060 DUNAWEAL LN,Food Service,ABC License,Independent
CRESTA VELIA WINES,CALISTOGA,Napa,,1413 EARL ST,Food Service,ABC License,Independent
DEUTSCH FAMILY WINE & SPIRITS,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License,Independent
DIAMOND MOUNTAIN WINERY,CALISTOGA,Napa,,2121 DIAMOND MOUNTAIN RD,Food Service,ABC License,Independent
DOI DA WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,Independent
ELUSA WINERY,CALISTOGA,Napa,,400 SILVERADO TRL,Food Service,ABC License,Independent
ENCROACHMENT WINES LLC,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License,Independent
ENVY WINES,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License,Independent
FAST GAS & MINI MART 2,CALISTOGA,Napa,,1108 LINCOLN AVE,Food Service,ABC License,Independent
FIVE SENSES NAPA VALLEY - MODERN JAPANESE,CALISTOGA,Napa,,1227 LINCOLN AVE,Food Service,ABC License,Independent
FORTUNATE SON WINES,CALISTOGA,Napa,,3718 ST HELENA HWY N,Food Service,ABC License,Independent
FTM WINE COMPANY LLC,CALISTOGA,Napa,,4300 SILVERADO TRL,Food Service,ABC License,Independent
FULTON FAMILY WINERY,CALISTOGA,Napa,,263 PETRIFIED FOREST RD,Food Service,ABC License,Independent
GARNET CREEK WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,Independent
GIRARD WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License,Independent
GLOBAL WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License,Independent
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,,4199 HEITZ WAY,Food Service,ABC License,Independent
GRIEVE FAMILY WINES,CALISTOGA,Napa,,865 SILVERADO TRL,Food Service,ABC License,Independent
GROW WINES,CALISTOGA,Napa,,1599 LAKE ST,Food Service,ABC License,Independent
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,,3500 STATE HIGHWAY 128,Food Service,ABC License,Independent
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License,Independent
HINDSIGHTS WINES,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License,Independent
HOBEL WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,Independent
HONOR WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License,Independent
HOURGLASS WINE COMPANY,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License,Independent
HYDRO GRILL,CALISTOGA,Napa,,1403 LINCOLN AVE,Food Service,ABC License,Independent
INIZI WINES,CALISTOGA,Napa,,1703 MAGGIE AVE,Food Service,ABC License,Independent
JOSEPH CELLARS WINERY,CALISTOGA,Napa,,4455 SAINT HELENA HWY,Food Service,ABC License,Independent
K.R. III NAPA WINES LLC,CALISTOGA,Napa,,3887 SILVERADO TRL N,Food Service,ABC License,Independent
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,Independent
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1311 WASHINGTON ST,Food Service,ABC License,Independent
KENEFICK RANCH WINERY,CALISTOGA,Napa,,2200 PICKETT RD,Food Service,ABC License,Independent
KENEFICK RANCHES WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License,Independent
KEYES WINE  LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License,Independent
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License,Independent
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License,Independent
KOCHANA WINES,CALISTOGA,Napa,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License,Independent
LA CORONA MARKET,CALISTOGA,Napa,,1856 LINCOLN AVE,Food Service,ABC License,Independent
LA PRIMA PIZZA,CALISTOGA,Napa,,1923 LAKE ST,Food Service,ABC License,Independent
