Business Name,City,County,Phone,Address,Business Type,Source,Chain Status,Chain Name,Priority
SERENDIPITY WINES WC  LLC,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOKOL BLOSSER WINERY,AMERICAN CANYON,Napa,,760-820 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SONOMA WINE COMPANY,AMERICAN CANYON,Napa,,205 JIM OSWALT WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOUTH KELLY GRILL,AMERICAN CANYON,Napa,,101 CAFE CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOUTHERN WINE GROUP  LLC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,,102 GOLD VALLEY CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,,1 KIRKLAND RANCH RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SUTTER HOME WINERY,AMERICAN CANYON,Napa,,303 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,,644 HANNA DR.,Food Service,ABC License,INDEPENDENT,N/A,HIGH
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,,3945 BROADWAY ST,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,,3425 BROADWAY ST,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,,1155 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
USA WINE WEST,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,,100 W AMERICAN CANYON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VINITY WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINEDIRECT,AMERICAN CANYON,Napa,,450 GREEN ISLAND RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINESU,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WINGSTOP 418,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ADAMVS WINERY,ANGWIN,Napa,,501 WHITE COTTAGE RD N,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,,383 LAS POSADAS,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,,555 WHITE COTTAGE RD S,Bar,ABC License,INDEPENDENT,N/A,HIGH
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CADE WINERY,ANGWIN,Napa,,360 HOWELL MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FLATLEY WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HAYFORK WINE COMPANY,ANGWIN,Napa,,2255 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JACKSON FAMILY WINES INC,ANGWIN,Napa,,1102 LAS POSADAS RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JENNAMARISE WINES,ANGWIN,Napa,,1300 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MAXEM WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MONTESQUIEU WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MOONE TSAI WINES,ANGWIN,Napa,,1425 LAS POSADAS RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,,1150 FRIESEN DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
OUTPOST WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PARAVEL WINES,ANGWIN,Napa,,994 WHITE COTTAGE RD N,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PEACE WATER WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RED THREAD WINE COMAPANY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROBERT CRAIG WINERY,ANGWIN,Napa,,2475 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SELAH WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOUNDS  SOUNDS WINE,ANGWIN,Napa,,1181 LAS POSADAS RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STELLAREESE WINES,ANGWIN,Napa,,480 BAY ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
THREE FURIES WINES,ANGWIN,Napa,,716 LIPARITA AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
TRUJILLO WINES,ANGWIN,Napa,,1250 LAS POSADOS RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VIDA VALIENTE WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
1510 LIQUOR LLC,CALISTOGA,Napa,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
1520 LIQUOR LLC,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
AUBERT WINES,CALISTOGA,Napa,,333 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
AUGUST BRIGGS WINERY,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BARLOW VINEYARDS,CALISTOGA,Napa,,4411 SILVERADO TRL,Bar,ABC License,INDEPENDENT,N/A,HIGH
BATISTA WINE IMPORTS LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BENNETT LANE WINERY,CALISTOGA,Napa,,3340 STATE HIGHWAY 128,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BETA-WINES,CALISTOGA,Napa,,1999 DIAMOND MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BOATIQUE WINERY  LLC,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BURE FAMILY WINES,CALISTOGA,Napa,,1171 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BUSTERS SOUTHERN BARBECUE,CALISTOGA,Napa,,1207 FOOTHILL BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
C BECK WINERY/TIN MAN WINES,CALISTOGA,Napa,,2424 JANIS WY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CALISTOGA INN RESTAURANT & BREWERY,CALISTOGA,Napa,,1250 LINCOLN AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CALISTOGA LIQUOR,CALISTOGA,Napa,,1102 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CALISTOGA ORTHODOX WINES INC,CALISTOGA,Napa,,1507 WASHINGTON ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CALISTOGA THAI KITCHEN,CALISTOGA,Napa,,1359 LINCOLN AVE,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CALISTOGA WINE WAY INN,CALISTOGA,Napa,,1019 FOOTHILL BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CASA DOMINGUEZ WINES,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CLOS PEGASE WINERY,CALISTOGA,Napa,,1060 DUNAWEAL LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CRESTA VELIA WINES,CALISTOGA,Napa,,1413 EARL ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
DEUTSCH FAMILY WINE & SPIRITS,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
DIAMOND MOUNTAIN WINERY,CALISTOGA,Napa,,2121 DIAMOND MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
DOI DA WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ELUSA WINERY,CALISTOGA,Napa,,400 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ENCROACHMENT WINES LLC,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ENVY WINES,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FAST GAS & MINI MART 2,CALISTOGA,Napa,,1108 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FIVE SENSES NAPA VALLEY - MODERN JAPANESE,CALISTOGA,Napa,,1227 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FORTUNATE SON WINES,CALISTOGA,Napa,,3718 ST HELENA HWY N,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FTM WINE COMPANY LLC,CALISTOGA,Napa,,4300 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FULTON FAMILY WINERY,CALISTOGA,Napa,,263 PETRIFIED FOREST RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GARNET CREEK WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GIRARD WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GLOBAL WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,,4199 HEITZ WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GRIEVE FAMILY WINES,CALISTOGA,Napa,,865 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GROW WINES,CALISTOGA,Napa,,1599 LAKE ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,,3500 STATE HIGHWAY 128,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HINDSIGHTS WINES,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HOBEL WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HONOR WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HOURGLASS WINE COMPANY,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HYDRO GRILL,CALISTOGA,Napa,,1403 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
INIZI WINES,CALISTOGA,Napa,,1703 MAGGIE AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JOSEPH CELLARS WINERY,CALISTOGA,Napa,,4455 SAINT HELENA HWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
K.R. III NAPA WINES LLC,CALISTOGA,Napa,,3887 SILVERADO TRL N,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1311 WASHINGTON ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KENEFICK RANCH WINERY,CALISTOGA,Napa,,2200 PICKETT RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KENEFICK RANCHES WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KEYES WINE  LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KOCHANA WINES,CALISTOGA,Napa,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LA CORONA MARKET,CALISTOGA,Napa,,1856 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LA PRIMA PIZZA,CALISTOGA,Napa,,1923 LAKE ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LADERA WINERY,CALISTOGA,Napa,,3942 SILVERADO TRL N,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LAURA MICHAEL WINES,CALISTOGA,Napa,,2250 LAKE COUNTY HWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LAWER FAMILY WINERY INC,CALISTOGA,Napa,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1235 WASHINGTON ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LOLA WINES,CALISTOGA,Napa,,916 FOOTHILL BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MACAULEY WINE CORPORATION,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MANDET WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,,1367 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MARNET WINES,CALISTOGA,Napa,,1572 CENTENNIAL CIR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MC WINES LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MONTESQUIEU WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NEOTEMPO WINES,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NEXT DOOR WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NIMROD WINES  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
