Business Name,City,County,Phone,Address,Business Type,Source,Chain Status,Chain Name,Priority
CAFE DELICIAS,ROCKLIN,Placer,,5190 PACIFIC ST,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CALIFORNIA GRILL,ROCKLIN,Placer,,2511 WARREN DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CASQUE WINES,ROCKLIN,Placer,,2208 SIERRA MEADOWS DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CELESTINOS NY PIZZA & PASTA,ROCKLIN,Placer,,6160 STANFORD RANCH RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CHIPOTLE MEXICAN GRILL #5064,ROCKLIN,Placer,,2310 SUNSET BLVD,Mexican Restaurant,ABC License,CHAIN,CHIPOTLE,LOW
CHIPOTLE MEXICAN GRILL STORE #2316,ROCKLIN,Placer,,5194 COMMONS DR,Mexican Restaurant,ABC License,CHAIN,CHIPOTLE,LOW
CJ'S PIZZA BAR + GRILL,ROCKLIN,Placer,,3221 STANFORD RANCH RD,Bar,ABC License,INDEPENDENT,N/A,HIGH
CRACKER BARREL OLD COUNTRY STORE #756,ROCKLIN,Placer,,4630 SIERRA COLLEGE BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
CRAZY SUSHI,ROCKLIN,Placer,,6696 LONETREE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CVS PHARMACY STORE 2661,ROCKLIN,Placer,,4785 GRANITE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
DON QUIXOTE'S MEXICAN GRILL,ROCKLIN,Placer,,2164 SUNSET BLVD,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
E-Z STOP FOOD & LIQUOR,ROCKLIN,Placer,,3700 MIDAS AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FARINHA FAMILY WINERY LLC,ROCKLIN,Placer,,5250 FRONT ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GRANITE ROCK GRILLE,ROCKLIN,Placer,,5140 PACIFIC ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HOUSE OF PIZZA,ROCKLIN,Placer,,5514 PACIFIC ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ICHIBAN JAPANESE RESTAURANT,ROCKLIN,Placer,,4817 GRANITE DR,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
IKURA JAPANESE CUISINE,ROCKLIN,Placer,,3475 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
IZUMI SUSHI,ROCKLIN,Placer,,6840 FIVE STAR BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JIMBOY'S TACOS,ROCKLIN,Placer,,5401 CROSSINGS DR,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
KAMARIS WINES  LLC,ROCKLIN,Placer,,2268 WILD PLAINS CT,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LIVE OAK TAVERN,ROCKLIN,Placer,,4195 PACIFIC ST,Bar,ABC License,INDEPENDENT,N/A,HIGH
MA'S PIZZA,ROCKLIN,Placer,,6011 STANFORD RANCH RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MAVERIK STORES  INC,ROCKLIN,Placer,,1020 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MOD PIZZA,ROCKLIN,Placer,,5400 CROSSINGS DR,Food Service,ABC License,CHAIN,MOD PIZZA,LOW
MOO MOO'S BURGER BARN,ROCKLIN,Placer,,2330 SUNSET BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
MOUNTAIN MIKES PIZZA,ROCKLIN,Placer,,5505 WHITNEY BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NEXUS LOUNGE & VR,ROCKLIN,Placer,,6661 BLUE OAKS BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
NOMA SUSHI & RAMEN,ROCKLIN,Placer,,1240 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NUGGET MARKET,ROCKLIN,Placer,,1051 WHITNEY RANCH PKWY,Food Service,ABC License,CHAIN,NUGGET MARKET,LOW
OKI SUSHI,ROCKLIN,Placer,,5406 CROSSINGS DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PAINKILLERS PUB INC,ROCKLIN,Placer,,2168 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PETES RESTAURANT & BREWHOUSE,ROCKLIN,Placer,,2210 SUNSET BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
PK SUSHI,ROCKLIN,Placer,,2168 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
POTTERY WORLD CAFE,ROCKLIN,Placer,,4419 GRANITE DR,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
PRIMO PIZZA BURGER BREW,ROCKLIN,Placer,,2600 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
QUIK STOP MARKET #4103,ROCKLIN,Placer,,2850 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RED'S PIZZERIA & TAPHOUSE,ROCKLIN,Placer,,6696 LONETREE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROCKLIN MINI MART,ROCKLIN,Placer,,4505 PACIFIC ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROUND TABLE PIZZA,ROCKLIN,Placer,,2345 SUNSET BLVD,Food Service,ABC License,CHAIN,ROUND TABLE,LOW
SAVE MART SUPERMARKETS 616,ROCKLIN,Placer,,3021 STANFORD RANCH RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SILA THAI CUISINE,ROCKLIN,Placer,,6815 LONETREE BLVD,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
SKIPOLINI'S PIZZA & PASTA,ROCKLIN,Placer,,6600 LONE TREE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SPEAKEZZ WINE & SPIRITS,ROCKLIN,Placer,,5514 PACIFIC ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STOP & GO LIQUOR,ROCKLIN,Placer,,4439 ROCKLIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STUDIO MOVIE GRILL,ROCKLIN,Placer,,5140 COMMONS DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SULLY'S BAR AND GRILL,ROCKLIN,Placer,,4451 PACIFIC ST,Bar,ABC License,INDEPENDENT,N/A,HIGH
SUSHI KAKOGAN,ROCKLIN,Placer,,4820 GRANITE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
TACO EXPRESS #3,ROCKLIN,Placer,,4885 GRANITE DR,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
TAQUERIA ROBERTO MEXICAN FOOD,ROCKLIN,Placer,,3071 STANFORD RANCH RD,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
TEA BAR & FUSION CAFE,ROCKLIN,Placer,,6694 LONETREE BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
THE BLUE PARROT LOUNGE,ROCKLIN,Placer,,6848 FIVE STAR BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
THUNDER LIQUORS,ROCKLIN,Placer,,3101 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
URBAN MARKET & MORE,ROCKLIN,Placer,,2161 SUNSET BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
VENITIA RHEAS CAFE,ROCKLIN,Placer,,4415 GRANITE DR,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
WAL MART STORE 3587,ROCKLIN,Placer,,5454 CROSSING DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
WALLEY'S CAFE #1,ROCKLIN,Placer,,2110 SUNSET BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
WALMART NEIGHBORHOOD MARKET #3090,ROCKLIN,Placer,,5609 PACIFIC ST,Food Service,ABC License,CHAIN,WALMART,LOW
WHITNEY OAKS GOLF CLUB,ROCKLIN,Placer,,2305 CLUBHOUSE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
7 ELEVEN STORE 21401C,ROSEVILLE,Placer,,500 CIRBY WAY,Food Service,ABC License,CHAIN,7 ELEVEN,LOW
7' YEN SUSHI,ROSEVILLE,Placer,,201 HARDING BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
AKAME SUSHI,ROSEVILLE,Placer,,1902 TAYLOR RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ALMOND TREE GRILL & LOUNGE,ROSEVILLE,Placer,,214 HARDING BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
ARIGATO SUSHI,ROSEVILLE,Placer,,1136 GALLERIA BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ASIAN N CAJUN,ROSEVILLE,Placer,,1251 BASELINE RD,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
AZAYAKA JAPANESE,ROSEVILLE,Placer,,6726 STANFORD RANCH RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BAR 101,ROSEVILLE,Placer,,101 MAIN ST,Bar,ABC License,INDEPENDENT,N/A,HIGH
BEACH HUT DELI,ROSEVILLE,Placer,,7456 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BEACH HUT DELI - ROSEVILLE,ROSEVILLE,Placer,,1490 EUREKA RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BEL AIR MARKET 512,ROSEVILLE,Placer,,4008 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BENNETT'S KITCHEN. BAR. MARKET.,ROSEVILLE,Placer,,1595 EUREKA RD,Bar,ABC License,INDEPENDENT,N/A,HIGH
BJS RESTAURANT & BREWHOUSE,ROSEVILLE,Placer,,1200 ROSEVILLE PKWY,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
BLAZE PIZZA,ROSEVILLE,Placer,,10325 FAIRWAY DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BLUE HOUSE RESTAURANT ROSEVILLE  INC.,ROSEVILLE,Placer,,2030 DOUGLAS BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
BOMBAY CUISINE & INDIAN SWEETS,ROSEVILLE,Placer,,7452 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BONSAI JAPANESE CUISINE,ROSEVILLE,Placer,,998 SUNRISE AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BOUNTY HUNTERS GRIND & GRILL,ROSEVILLE,Placer,,406 VERNON ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BOURBON WINE & SPIRITS,ROSEVILLE,Placer,,5005 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BOURBONS & MORE LIQUORS,ROSEVILLE,Placer,,1611 DOUGLAS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BOXING DONKEY IRISH PUB,ROSEVILLE,Placer,,300 LINCOLN ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BROOKFIELDS RESTAURANT,ROSEVILLE,Placer,,1817 TAYLOR RD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
BUCKHORN GRILL,ROSEVILLE,Placer,,1151 GALLERIA BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
BUFFALO WILD WINGS,ROSEVILLE,Placer,,1168 GALLERIA BLVD,Food Service,ABC License,CHAIN,BUFFALO WILD WINGS,LOW
BURGER LOUNGE,ROSEVILLE,Placer,,1198 ROSEVILLE PKWY,Bar,ABC License,INDEPENDENT,N/A,HIGH
CAFE DELICIAS,ROSEVILLE,Placer,,211 HARDING BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CALIFORNIA PIZZA KITCHEN,ROSEVILLE,Placer,,1190 ROSEVILLE PKWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CALIFORNIA ROLL & GRILL,ROSEVILLE,Placer,,1725 SANTA CLARA DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CARMELITAS RESTAURANT,ROSEVILLE,Placer,,204 RIVERSIDE AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CASA RAMOS MEXICAN RESTAURANT,ROSEVILLE,Placer,,1563 EUREKA RD,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CHICAGO PIZZA WITHA TWIST,ROSEVILLE,Placer,,4191 THRIVE DR  STE 100,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CHICAGO'S PIZZA WITH A TWIST,ROSEVILLE,Placer,,8300 SIERRA COLLEGE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CHICHA PERUVIAN KITCHEN & CAFE,ROSEVILLE,Placer,,1079 SUNRISE AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CHILIS GRILL & BAR,ROSEVILLE,Placer,,10585 FAIRWAY DR,Bar,ABC License,INDEPENDENT,N/A,HIGH
CHIPOTLE MEXICAN GRILL,ROSEVILLE,Placer,,1136 GALLERIA BLVD,Mexican Restaurant,ABC License,CHAIN,CHIPOTLE,LOW
CHIPOTLE MEXICAN GRILL STORE #3437,ROSEVILLE,Placer,,4200 THRIVE DR,Mexican Restaurant,ABC License,CHAIN,CHIPOTLE,LOW
CHIPOTLE MEXICAN GRILL STORE #3811,ROSEVILLE,Placer,,1980 BLUE OAKS BLVD,Mexican Restaurant,ABC License,CHAIN,CHIPOTLE,LOW
CHOPSTICKS RESTAURANT,ROSEVILLE,Placer,,1000 SUNRISE AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CLAIM JUMPER RESTAURANT,ROSEVILLE,Placer,,250 HARDING BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
COST PLUS WORLD MARKET,ROSEVILLE,Placer,,1120 GALLERIA BLVD,Food Service,ABC License,CHAIN,COST PLUS,LOW
COUNTRY GABLES CAFE,ROSEVILLE,Placer,,699 WASHINGTON BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
CURRY PIZZA HOUSE,ROSEVILLE,Placer,,3984 DOUGLAS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CVS PHARMACY STORE 9958,ROSEVILLE,Placer,,5090 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
CVS PHARMACY STORE 9993,ROSEVILLE,Placer,,9280 SIERRA COLLEGE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
DICKEYS BARBECUE PIT,ROSEVILLE,Placer,,701 PLEASANT GROVE BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
DOS COYOTES BORDER CAFE,ROSEVILLE,Placer,,2030 DOUGLAS BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
EXHALE HOOKAH LOUNGE,ROSEVILLE,Placer,,1725 SANTA CLARA DR,Bar,ABC License,INDEPENDENT,N/A,HIGH
FARMS' PIZZA,ROSEVILLE,Placer,,4701 FIDDYMENT RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FINE WINE & LIQUOR,ROSEVILLE,Placer,,3031 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FLEMINGS PRIME STEAKHOUSE & WINE BAR,ROSEVILLE,Placer,,1101 GALLERIA BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
FLOUR DUST PIZZA COMPANY,ROSEVILLE,Placer,,5080 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
FRANZESE WINE,ROSEVILLE,Placer,,8825 WENTWORTH WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GOOSE PORT PUBLIC HOUSE,ROSEVILLE,Placer,,316 VERNON ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GRAND INDIAN CUISINE  THE,ROSEVILLE,Placer,,9600 FAIRWAY DR #100,Food Service,ABC License,INDEPENDENT,N/A,HIGH
GRANITE'S SUBS  WINGS & BURGERS,ROSEVILLE,Placer,,9077 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
H&S ENERGY PRODUCTS  LLC STORE #3066,ROSEVILLE,Placer,,1400 E ROSEVILLE PKWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
H&S ENERGY PRODUCTS  LLC STORE #3067,ROSEVILLE,Placer,,3001 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
HOOCH'S SPORTS BAR & GRILL PIZZERIA,ROSEVILLE,Placer,,5140 FOOTHILLS BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
ITS SUSHI,ROSEVILLE,Placer,,5030 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JACKS URBAN EATS,ROSEVILLE,Placer,,8620 SIERRA COLLEGE BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
JACKS URBAN EATS #8,ROSEVILLE,Placer,,1005 GALLERIA BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
JALISCO FRESH GRILL,ROSEVILLE,Placer,,5180 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
JIMBOY'S TACOS,ROSEVILLE,Placer,,1228 GALLERIA BLVD,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
JIMBOYS TACOS,ROSEVILLE,Placer,,1000 SUNRISE AVE,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
JOHNS INCREDIBLE PIZZA CO,ROSEVILLE,Placer,,384 N SUNRISE AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KAHN MONGOLIAN GRILL,ROSEVILLE,Placer,,920 PLEASANT GROVE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KHOBKOON THAI CUISINE,ROSEVILLE,Placer,,7452 FOOTHILLS BLVD,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
KITCHEN 747 & MOJOE'S CAFE,ROSEVILLE,Placer,,2320-2330 PLEASANT GROVE BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
KRUSH BURGER RESTAURANT,ROSEVILLE,Placer,,1151 GALLERIA BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
KTOWN KOREAN BBQ AND SUSHI,ROSEVILLE,Placer,,1137 ROSEVILLE SQ,Food Service,ABC License,INDEPENDENT,N/A,HIGH
KURA REVOLVING SUSHI BAR,ROSEVILLE,Placer,,250 GIBSON DR,Bar,ABC License,INDEPENDENT,N/A,HIGH
LA LUPITA MEXICAN FOOD,ROSEVILLE,Placer,,100 ATKINSON ST C,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
LAND OCEAN RESTAURANT,ROSEVILLE,Placer,,1151 GALLERIA BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
LAZY DOG RESTAURANT & BAR,ROSEVILLE,Placer,,238 GIBSON DR,Bar,ABC License,INDEPENDENT,N/A,HIGH
LE TESH WINE LOUNGE,ROSEVILLE,Placer,,219 VERNON ST,Bar,ABC License,INDEPENDENT,N/A,HIGH
LEGENDS & HEROS SPORTS BAR & GRILL,ROSEVILLE,Placer,,5880 WOODCREEK OAKS BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
LEOS KITCHEN,ROSEVILLE,Placer,,7441 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LIQUOR LOCKER,ROSEVILLE,Placer,,115 DARLING WY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LORENZO'S MEXICAN RESTAURANT,ROSEVILLE,Placer,,135 SUNRISE AVE,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
LOS CABOS GRILL,ROSEVILLE,Placer,,7451 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
LOS ZARAPES MEXICAN RESTAURANT,ROSEVILLE,Placer,,8779-8781 AUBURN FOLSOM RD,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
MANDANGOS SPORTS BARS & GRILLS,ROSEVILLE,Placer,,106 N SUNRISE AVE,Bar,ABC License,INDEPENDENT,N/A,HIGH
MAS MEXICAN RESTAURANT,ROSEVILLE,Placer,,1563 EUREKA RD,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
MEHFIL INDIAN RESTAURANT,ROSEVILLE,Placer,,1605 DOUGLAS BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
MIA RESTAURANT & BAR,ROSEVILLE,Placer,,1475 EUREKA RD,Bar,ABC License,INDEPENDENT,N/A,HIGH
MIKUNI JAPANESE RESTAURANT & SUSHI BAR,ROSEVILLE,Placer,,1194 ROSEVILLE PKWY,Bar,ABC License,INDEPENDENT,N/A,HIGH
MIKUNI JAPANESE RESTAURANT AND SUSHI BAR,ROSEVILLE,Placer,,1565 EUREKA RD,Bar,ABC License,INDEPENDENT,N/A,HIGH
MOD PIZZA,ROSEVILLE,Placer,,190 ROSEVILLE PKWY,Food Service,ABC License,CHAIN,MOD PIZZA,LOW
MOKSA BARREL HOUSE,ROSEVILLE,Placer,,10007 FOOTHILLS BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
MORENITA MARKET & TAQUERIA,ROSEVILLE,Placer,,1078 DOUGLAS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MORGAN CREEK GOLF COURSE,ROSEVILLE,Placer,,8787 MORGAN CREEK LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MOUNTAIN MIKES PIZZA,ROSEVILLE,Placer,,3989 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
MY THAI KITCHEN,ROSEVILLE,Placer,,1465 EUREKA RD,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
NARUTO SHOW ME THE SUSHI,ROSEVILLE,Placer,,963 PLEASANT GROVE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
NIXTACO MEXICAN TAQUERIA,ROSEVILLE,Placer,,1805 CIRBY WAY,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
NUA THAI CUISINE,ROSEVILLE,Placer,,1825 DOUGLAS BLVD,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
NUGGET MARKET,ROSEVILLE,Placer,,1509 BLUE OAKS BLVD,Food Service,ABC License,CHAIN,NUGGET MARKET,LOW
OAKS SUSHI & BOWL,ROSEVILLE,Placer,,2010 BLUE OAKS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
OLD TOWN PIZZA,ROSEVILLE,Placer,,120 CHURCH ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
OLIVE GARDEN ITALIAN RESTAURANT THE 1574,ROSEVILLE,Placer,,1160 GALLERIA BLVD,Restaurant,ABC License,CHAIN,OLIVE GARDEN,LOW
ONYX CLUB,ROSEVILLE,Placer,,116 MAIN ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ORIGINAL AL'S RESTAURANT & PIZZERIA,ROSEVILLE,Placer,,5005 FOOTHILLS BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
PACIFIC STREET CAFE,ROSEVILLE,Placer,,301 LINCOLN ST,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
PAUL MARTINS AMERICAN GRILL,ROSEVILLE,Placer,,1455 EUREKA RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PEDAL CAR PIZZA,ROSEVILLE,Placer,,222 VERNON ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PERFECTO LOUNGE,ROSEVILLE,Placer,,973 PLEASANT GROVE BLVD,Bar,ABC License,INDEPENDENT,N/A,HIGH
PHO HANG,ROSEVILLE,Placer,,916 PLEASANT GROVE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PHO MADAME,ROSEVILLE,Placer,,1780 PLEASANT GROVE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PINTO THAI BISTRO,ROSEVILLE,Placer,,9700 FAIRWAY DR,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
Q1227 RESTAURANT,ROSEVILLE,Placer,,1151 GALLERIA BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
QUICKMART LIQUOR,ROSEVILLE,Placer,,970 SUNRISE AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RANCH CAFE  THE,ROSEVILLE,Placer,,2501 EUREKA RD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
RANGE KITCHEN AND TAP,ROSEVILLE,Placer,,1420 E ROSEVILLE PKWY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RED ROBIN AMERICAS GOURMENT BURGERS & SPIRITS,ROSEVILLE,Placer,,1184 GALLERIA BLVD,Food Service,ABC License,CHAIN,RED ROBIN,LOW
RESTAURANT DEPOT,ROSEVILLE,Placer,,7651 FOOTHILLS BLVD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
ROKU SUSHI,ROSEVILLE,Placer,,4200 THRIVE DR,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROSE CAFE' & BAGEL,ROSEVILLE,Placer,,4070 BASELINE RD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
ROSE GARDEN CHINESE RESTAURANT,ROSEVILLE,Placer,,1079 SUNRISE AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
ROSE LIQUOR FOOD & GAS,ROSEVILLE,Placer,,108 RIVERSIDE AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROSEVILLE MARKET,ROSEVILLE,Placer,,1701 P F E RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROUND TABLE PIZZA,ROSEVILLE,Placer,,9055 WOODCREEK OAKS BLVD,Food Service,ABC License,CHAIN,ROUND TABLE,LOW
ROUND1 BOWLING & ARCADE,ROSEVILLE,Placer,,1191 GALLERIA BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROUNDHOUSE DELI THE,ROSEVILLE,Placer,,604 CHURCH ST A,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RUEN THAI RESTAURANT,ROSEVILLE,Placer,,1470 EUREKA RD,Asian Restaurant,ABC License,INDEPENDENT,N/A,HIGH
SABORES RESTAURANT,ROSEVILLE,Placer,,10271 FAIRWAY DR,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
SAFEWAY STORE #2695 FUEL,ROSEVILLE,Placer,,1790 PLEASANT GROVE BLVD,Food Service,ABC License,CHAIN,SAFEWAY,LOW
SAFEWAY STORE#2695,ROSEVILLE,Placer,,1770 PLEASANT GROVE BLVD,Food Service,ABC License,CHAIN,SAFEWAY,LOW
SAMS CLUB 6621,ROSEVILLE,Placer,,904 PLEASANT GROVE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SARI SARI ORIENTAL MARKET,ROSEVILLE,Placer,,203 HARDING BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SAVE MART SUPERMARKETS 617,ROSEVILLE,Placer,,5060 FOOTHILLS BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SCOREBOARDS PIZZA & GRILL,ROSEVILLE,Placer,,9260 SIERRA COLLEGE BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SIENNA RESTAURANT,ROSEVILLE,Placer,,1480 EUREKA RD,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
SIERRA VIEW COUNTRY CLUB,ROSEVILLE,Placer,,105 ALTA VISTA AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SKATETOWN ICE ARENA CAFE,ROSEVILLE,Placer,,1009 ORLANDO AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
