Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
SPRINGBOARD WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
STOVER OAKS VINEYARD & WINERY,AMERICAN CANYON,Napa,,102 GOLD VALLEY CT,Food Service,ABC License Data,INDEPENDENT
SUNRISE RANCH WINERY,AMERICAN CANYON,Napa,,1 KIRKLAND RANCH RD,Food Service,ABC License Data,INDEPENDENT
SUTTER HOME WINERY,AMERICAN CANYON,Napa,,303 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
SWIRL WINE BROKERS INC,AMERICAN CANYON,Napa,,644 HANNA DR.,Food Service,ABC License Data,INDEPENDENT
TACOS MICHOACHAN 2,AMERICAN CANYON,Napa,,3945 BROADWAY ST,Mexican Restaurant,ABC License Data,INDEPENDENT
THAI KITCHEN RESTAURANT,AMERICAN CANYON,Napa,,3425 BROADWAY ST,Asian Restaurant,ABC License Data,INDEPENDENT
TRI-VIN WINES AND SPIRITS,AMERICAN CANYON,Napa,,1155 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
USA WINE WEST,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
VALENTINA'S KITCHEN,AMERICAN CANYON,Napa,,100 W AMERICAN CANYON RD,Food Service,ABC License Data,INDEPENDENT
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data,INDEPENDENT
VINITY WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License Data,INDEPENDENT
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License Data,INDEPENDENT
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License Data,INDEPENDENT
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License Data,INDEPENDENT
WINEDIRECT,AMERICAN CANYON,Napa,,450 GREEN ISLAND RD,Food Service,ABC License Data,INDEPENDENT
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
WINESU,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data,INDEPENDENT
WINGSTOP 418,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License Data,INDEPENDENT
ADAMVS WINERY,ANGWIN,Napa,,501 WHITE COTTAGE RD N,Food Service,ABC License Data,INDEPENDENT
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,,383 LAS POSADAS,Food Service,ABC License Data,INDEPENDENT
