Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
ALOHA SUSHI,FOLSOM,Sacramento,,2791 E BIDWELL ST,Food Service,ABC License Data,INDEPENDENT
AMERICAN FOOD STORE,ORANGEVALE,Sacramento,,5682 MAIN AVE,Food Service,ABC License Data,INDEPENDENT
AMERICAN WAY MARKET,SACRAMENTO,Sacramento,,401 W EL CAMINO AVE,Food Service,ABC License Data,INDEPENDENT
AMIGOS MARKET,GALT,Sacramento,,229 S LINCOLN WY,Food Service,ABC License Data,INDEPENDENT
ANDY'S KITCHEN,FOLSOM,Sacramento,,153 IRON POINT RD,Food Service,ABC License Data,INDEPENDENT
ANTELOPE 76 MARKET,CITRUS HEIGHTS,Sacramento,,7800 LICHEN DR,Food Service,ABC License Data,INDEPENDENT
ANTELOPE GREENS GOLF COURSE,ANTELOPE,Sacramento,,2721 ELVERTA RD,Food Service,ABC License Data,INDEPENDENT
ANTELOPE MARKET,ANTELOPE,Sacramento,,3535 ELVERTA RD,Food Service,ABC License Data,INDEPENDENT
ANTIQUITE MIDTOWN WINERY,SACRAMENTO,Sacramento,,2116 P ST,Food Service,ABC License Data,INDEPENDENT
APPLEBEE'S NEIGHBORHOOD BAR & GRILL,CITRUS HEIGHTS,Sacramento,,6900 AUBURN BLVD,Bar,ABC License Data,CHAIN
APPLEBEES NEIGHBORHOOD GRILL & BAR,ELK GROVE,Sacramento,,9105 E STOCKTON BLVD,Bar,ABC License Data,CHAIN
APPLEBEES NEIGHBORHOOD GRILL & BAR,SACRAMENTO,Sacramento,,3601 TRUXEL RD,Bar,ABC License Data,CHAIN
ARCHWAY MARKET,RIO LINDA,Sacramento,,416 M ST,Food Service,ABC License Data,INDEPENDENT
ARIA GAS AND MARKET 2,SACRAMENTO,Sacramento,,3500 WATT AVE,Food Service,ABC License Data,INDEPENDENT
ARIGATO SUSHI,SACRAMENTO,Sacramento,,1608 HOWE AVE,Food Service,ABC License Data,INDEPENDENT
ARTEAGAS MARKET,SACRAMENTO,Sacramento,,2690 NORTHGATE BLVD,Food Service,ABC License Data,INDEPENDENT
ARTS LIQUOR,SACRAMENTO,Sacramento,,5800 MADISON AVE,Food Service,ABC License Data,INDEPENDENT
ASHLEY'S COUNTRY KITCHEN,ORANGEVALE,Sacramento,,9411 MADISON AVE,Food Service,ABC License Data,INDEPENDENT
ASIAN BROTHERS BREWING COMPANY,ISLETON,Sacramento,,731 W BRANNAN IS RD,Asian Restaurant,ABC License Data,INDEPENDENT
ASIAN FOOD CENTER,SACRAMENTO,Sacramento,,1301 BROADWAY,Asian Restaurant,ABC License Data,INDEPENDENT
ASIAN N' CAJUN,SACRAMENTO,Sacramento,,4271 TRUXEL RD,Asian Restaurant,ABC License Data,INDEPENDENT
ASIAN PEARL RESTAURANT,SACRAMENTO,Sacramento,,6821 STOCKTON BLVD,Asian Restaurant,ABC License Data,INDEPENDENT
AT THAI KITCHEN,FOLSOM,Sacramento,,711 E BIDWELL ST,Asian Restaurant,ABC License Data,INDEPENDENT
AVIATORS RESTAURANT,SACRAMENTO,Sacramento,,6151 FREEPORT BLVD,Restaurant,ABC License Data,INDEPENDENT
AZAYAKA JAPANESE FUSION,SACRAMENTO,Sacramento,,8760 LA RIVIERA DR,Food Service,ABC License Data,INDEPENDENT
AZUKAR SUSHI,SACRAMENTO,Sacramento,,1516 W EL CAMINO AVE,Food Service,ABC License Data,INDEPENDENT
AZUL MEXICAN FOOD & TEQUILA BAR,SACRAMENTO,Sacramento,,1050 20TH ST,Mexican Restaurant,ABC License Data,INDEPENDENT
B & E MARKET,SACRAMENTO,Sacramento,,7596 BRADSHAW RD,Food Service,ABC License Data,INDEPENDENT
B & W LIQUOR,SACRAMENTO,Sacramento,,1810 DEL PASO BLVD,Food Service,ABC License Data,INDEPENDENT
B BROTHERS MINI MART,SACRAMENTO,Sacramento,,4847 AMBER LN,Food Service,ABC License Data,INDEPENDENT
B'S WINE & LIQUOR,FAIR OAKS,Sacramento,,8121 MADISON AVE,Food Service,ABC License Data,INDEPENDENT
B.O.S.S. 5 STAR LOUNGE,SACRAMENTO,Sacramento,,1017 FRONT ST LOWR LEVEL,Bar,ABC License Data,INDEPENDENT
BABES LOUNGE,ELK GROVE,Sacramento,,9021 ELK GROVE BLVD,Bar,ABC License Data,INDEPENDENT
