Business Name,City,County,Phone,Address,Business Type,Source
VALLEY WINE WAREHOUSE,AMERICAN CANYON,Napa,,175 TOWER RD,Food Service,ABC License Data
VINITY WINE COMPANY,AMERICAN CANYON,Napa,,1200 GREEN ISLAND RD,Food Service,ABC License Data
WAUGH FAMILY WINES,AMERICAN CANYON,Napa,,100 NAPA JUNCTION RD,Food Service,ABC License Data
WESTERN WINE SERVICES INC,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data
WILLIAM & MARY WINE COMPANY,AMERICAN CANYON,Napa,,644 HANNA DR,Food Service,ABC License Data
WINE SOURCE GROUP LLC,AMERICAN CANYON,Napa,,875 HANNA DR,Food Service,ABC License Data
WINE SPOTS CELLARS,AMERICAN CANYON,Napa,,801 HANNA DR,Food Service,ABC License Data
WINEDIRECT,AMERICAN CANYON,Napa,,450 GREEN ISLAND RD,Food Service,ABC License Data
WINESOURCE INTERNATIONAL,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data
WINESU,AMERICAN CANYON,Napa,,1275 COMMERCE BLVD,Food Service,ABC License Data
WINGSTOP 418,AMERICAN CANYON,Napa,,5075 MAIN ST,Food Service,ABC License Data
ADAMVS WINERY,ANGWIN,Napa,,501 WHITE COTTAGE RD N,Food Service,ABC License Data
ALOFT WINES & DARK MATTER WINES,ANGWIN,Napa,,383 LAS POSADAS,Food Service,ABC License Data
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,,555 WHITE COTTAGE RD S,Bar,ABC License Data
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License Data
CADE WINERY,ANGWIN,Napa,,360 HOWELL MOUNTAIN RD,Food Service,ABC License Data
FLATLEY WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data
HAYFORK WINE COMPANY,ANGWIN,Napa,,2255 SUMMIT LAKE DR,Food Service,ABC License Data
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data
JACKSON FAMILY WINES INC,ANGWIN,Napa,,1102 LAS POSADAS RD,Food Service,ABC License Data
JENNAMARISE WINES,ANGWIN,Napa,,1300 SUMMIT LAKE DR,Food Service,ABC License Data
MAXEM WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data
MONTESQUIEU WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data
